Tracking Number,Accession Number,Catalog Number,Family,Genus,Subgenus,Species,Subspecies,Stage,Author,Year,Specimen Number,Collecting Method,Continent,Ocean,Sea/Gulf/Strait,Lake/Pond/Reservoir,Bay/Harbor/Sound,River/Creek,Stream,Mountain Range,Mountain,Island Group,Island,Notes: Locality,Notes: Country,Country,MISCELLANEOUS,Department / Province / State,County,City/Town/Hamlet,Specific Locale,Macro Habitat,Micro Habitat ,Substrate,Temp C,decimal latitude,decimal longitude,Latitude (from),Lat (from) NS,Latitude (to),Lat NS  (to),Longitude (from),Long (from) EW,Longitude   (to) ,Long EW  (to),Elevation from (m),Elevation to (m),Elevation from (f),Elevation to (f),Depth (f) start,Depth (f) end,Depth (m) start,Depth (m) end,Fathoms,Collector,Date Collected,Collection,Donation Date,Notes,Type,Preservation Type,Publication,Collection2
185,9879,273887,Ranellidae,Ranella,,olearia,,,Linnaeus,1758,1,,,,Mediterranean Sea,,,,,,,,,,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Mrs. Peter R. Fleischner,25-Jun-92,"Live in 80 meters from the trawler """"Chiffo III"""".",,,,Mrs. Peter R. Fleischner Collection.
170,210310,316929,Pectinidae,Chlamys,,multistriata,,,(Poli,1795,5,,,,Mediterranean Sea,,,,,,,,,,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Reebe,,Germer,1999,,,,,Germer Collection
172,210310,317060,Pectinidae,Aequipecten,,opercularis,,,(Linne,1758),2,,,,Mediterranean Sea,,,,,,,,,,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Willaim Beehe,,Germer,1999,,,,,Germer Collection
173,210310,317184,Pectinidae,Pecten,,jacobaeus,,,(Linne,1758),2,,,,Mediterranean Sea,,,,,,,,,,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Beebe,,Germer,1999,,,,,Germer Collection
175,210310,317537,Epitoniidae,Gyroscala,,lamellosa,,,(Lamarck,1822),2,,,,Mediterranean Sea,,,,,,,,,,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Beehe,,Germer,1999,,,,,Germer Collection
189,9853,293914,Mytilidae,Perna,,pictus,,,(Born,1778),1,,,,,,,,,,,,,,,Algiers,,"North Africa,","Mediterranean,",,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Grace G. Eddison,25-Oct-91,"ex. M. Labisse, 1 June 1965",,,,Grace G. Eddison MD Collection
190,10310,315559,Conidae,Conus,,mediterranicus,,,Bruguiere,1792,1,,,,Mediterranean Sea,,,,,,,,,,,Algiers,,Off Oran,,,,,,,,,,,,,,,,,,,,,,,,,,,William Beehe,,Germer,1999,,,,,Germer Collection
221,10055,302645,Conidae,Conus,,striatus,,,Linne,1758,1,,,,,,,,,,,,,,,American Samoa,,"along Airport Runway,",,,"at 2 feet on coral debris,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,1983,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
222,10055,302645,Conidae,Conus,,striatus,,,Linne,1758,1,,,,,,,,,,,,,,,American Samoa,,"along Airport Runway,",,,"at 2 feet on coral debris,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,1983,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
223,10055,302648,Conidae,Conus,,pulicarius,,,Hwass,1792,9,,,,,,,,,,,,,,,American Samoa,,"in front of Rainmaker Hotel,",,,"1-4 feet in sand or on sand,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Oct-78,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
224,10055,302648,Conidae,Conus,,pulicarius,,,Hwass,1792,9,,,,,,,,,,,,,,,American Samoa,,"in front of Rainmaker Hotel,",,,"1-4 feet in sand or on sand,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Oct-78,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
225,10055,302735,Cypraeidae,Cypraea,,arabica,,,(Linne,1758),9,,,,,,,,,,,,,,,American Samoa,,Pago Pago,"Alongside Rainmaker Hotel,",,"1-3 feet under big coral on coral rubble, close to shore,",,,,,,,,,,,,,,,,,,,,,,,,Dr. Edward A. Dunlap,1978 & 1980,Dr. Edward A. Dunlap,27-Oct-95,Live collected,,,,Dr. Edward A. Dunlap Collection
226,10055,302735,Cypraeidae,Cypraea,,arabica,,,(Linne,1758),9,,,,,,,,,,,,,,,American Samoa,,Pago Pago,"Alongside Rainmaker Hotel,",,"1-3 feet under big coral on coral rubble, close to shore,",,,,,,,,,,,,,,,,,,,,,,,,Dr. Edward A. Dunlap,1978 & 1980,Dr. Edward A. Dunlap,27-Oct-95,Live collected,,,,Dr. Edward A. Dunlap Collection
270,10055,302051,Cypraeidae,Cypraea,,caurica,caurica,,(Linne,1758),11,,,,,,,,,,,,,,,American Samoa,,Pago Pago,"alongside Rainmaker Hotel,",,"1-3 fet on sand and rubble under coral rubble,",,,,,,,,,,,,,,,,,,,,,,,,Dr. Edward A. Dunlap,Dec.1982 & Mar.1983,Dr. Edward A. Dunlap,27-Oct-95,Live taken,,,,Dr. Edward A. Dunlap Collection
227,10055,304072,Conidae,Conus,,eburneus,,,Hwass,1792,1,,,,,,,,,,,,,,,American Samoa,,Pago Pago,"Alongside Rainmaker Hotel,",,"at 3 feet in rubble,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Nov-78,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
229,10055,304130,Strombidae,Lambis,,scorpius,scorpius,,(Linne,1758),1,,,,,,,,,,,,,,,American Samoa,,Pago Pago,"In front of Rainmaker Hotel,",,"at 1 foot on coral debris,",,,,,,,,,,,,,,,,,,,,,,,,Dr. Edward A. Dunlap,,Dr. Edward A. Dunlap,27-Oct-95,Live collected,,,,Dr. Edward A. Dunlap Collection
214,10055,302277,Terebridae,Terebra,,crenulata,,,Linne,1758,3,,,,,,,,,,,,,,,American Samoa,,Pago Pago,,,"in front of Rainmaker Hotel,",,,,,,,,,,,,,,,,,,,,,,,,Dr. Edward A. Dunlap,10-Dec-82,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
215,10055,302277,Terebridae,Terebra,,crenulata,,,Linne,1758,3,,,,,,,,,,,,,,,American Samoa,,Pago Pago,,,"in front of Rainmaker Hotel,",,,,,,,,,,,,,,,,,,,,,,,,Dr. Edward A. Dunlap,10-Dec-82,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
231,10310,313758,Cypraeidae,Cypraea,,tigris,,,Linne,1758,1,,,,,,,,,,,,,,,American Samoa,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,,W.Christians,1960's,Germer,8-Oct-99,,,,,Germer Collection
234,10310,314258,Muricidae,Coralliophila,,erosa,,,(Roeding,1798),1,,,,,,,,,,,,,,,American Samoa,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,,W.Christians,1960,Germer,1999,,,,,Germer Collection
269,10055,302051,Cypraeidae,Cypraea,,caurica,caurica,,(Linne,1758),11,,,,,,,,,,,,,,,American Samoa,,"Pago Pago,","alongside Rainmaker Hotel,",,"1-3 fet on sand and rubble under coral rubble,",,,,,,,,,,,,,,,,,,,,,,,,Dr. Edward A. Dunlap,Dec.1982 & Mar.1983,Dr. Edward A. Dunlap,27-Oct-95,Live taken,,,,Dr. Edward A. Dunlap Collection
267,10310,311714,Columbellidae,Pyrene,,sp.,,,,,2,,,,,,,,,,,,,,,American Samoa,,"Pago Pago,",,,,,,,,,,,,,,,,,,,,,,,,,,,W.Christians,1960's,Germer,8-Oct-99,,,,,Germer Collection
268,9778,287193,Columbellidae,Mitrella,,bella,,,Reeve,1859,2,,,Pacific Ocean,,,,,,,,,,,,American Samoa,,"Tutuila Is.,","Fagasa Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,Donald Shasky,May-87,Donald Shasky,10-Dec-90,30' under dead coral,,,,Donald Shasky collection
265,10023,275464,Cyclostrematidae,Arene,,sp.,,,,,2,,,Pacific Ocean,,,,,,,,,,,,American Samoa,,"Tutuila Island,","Afono Bay,",,"under dead corals, .5-1m, by snorkel,",,,,,,,,,,,,,,,,,,,,,,,,J. & M. Coltro,Nov. 1994,J. & M. Coltro,5-May-95,,,,,Old/Johnson Malacology Fund
