Tracking Number,Accession Number,Catalog Number,Family,Genus,Subgenus,Species,Subspecies,Stage,Author,Year,Specimen Number,Collecting Method,Continent,Ocean,Sea/Gulf/Strait,Lake/Pond/Reservoir,Bay/Harbor/Sound,River/Creek,Stream,Mountain Range,Mountain,Island Group,Island,Notes: Locality,Notes: Country,Country,MISCELLANEOUS,Department / Province / State,County,City/Town/Hamlet,Specific Locale,Macro Habitat,Micro Habitat ,Substrate,Temp C,decimal latitude,decimal longitude,Latitude (from),Lat (from) NS,Latitude (to),Lat NS  (to),Longitude (from),Long (from) EW,Longitude   (to) ,Long EW  (to),Elevation from (m),Elevation to (m),Elevation from (f),Elevation to (f),Depth (f) start,Depth (f) end,Depth (m) start,Depth (m) end,Fathoms,Collector,Date Collected,Collection,Donation Date,Notes,Type,Preservation Type,Publication,Collection2
314,,225172,Rissoidae,Manzonia,,gofasi,,,Rol n and Fernandes,1990a,2,,Africa,,,,,,,,,,,,,Angola,,Luanda,,,100 meters ,,,,,,,,,,,,,,,,,,,,,,,,Not Cited,Not Cited,,,"ex E. Rol n. The holotype is MNCN 15.05/1038 and additional paratypes are in several museum and private collections (fide Rolan & Fernandes, 1990a, p. 64). The holotype is now in MNHN (fide Templado et al, 1993, pp. 49, 50). [We need to rewor",PARATYPES, ,"pp. 63-64; pl. 1, figs. 1-3",
323,,242675,Coralliophilidae,Coralliophila,,occidentale,,,Kosuge and Fernandes,1988,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,Luanda,,,60 meters by dredging ,,,,,,,,,,,,,,,,,,,,,,,,Francisco Fernandes,"August, 1985",,,"ex F. Fernandes. The holotype is in Institute of Malacology of Tokyo, no IMT-88-2. Additional paratypes are in the Fernandes Collection (fide Kosuge & Fernandes, 1988, p. 97).  ",PARATYPE, ,"pp. 96,97; pl. 39, figs. 5, 6; 1 text fig.",
328,9879,274922,Coralliophilidae,Coralliophila,,atlantica,,,E.A.Smith,1890,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,Luanda,,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,"October, 1982",Mrs.Peter R. Fleischner,25-Jun-92,Collected in nets by fishermen at 40-50 meters.,,,,Mrs. Peter R. Fleischner Collection.
333,10050,282847,Muricidae,Coralliophila,,atlantica,,,Smith,1890,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,Luanda,,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Katherine C. Vaught,17-Jul-95,60 meters off Luanda.,,,,Katherine C. Vaught Collection.
592,9586,264298,Cypraeidae,Cypraea,,pyrum,,,Gmelin,1791,2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,,Soares,1973,Morton L. Goodfriend,24-Nov-87,Dredged from 8 meters,,,,Glenn Goodfriend Collection
603,9586,265716,Cypraeidae,Cypraea,,zonaria,,,Gmelin,1791,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,,Soares,11-Nov-73,Morton L. Goodfriend,24-Nov-87,Found with in an old and dead Pinna; 1.5 m,,,,Glenn Goodfriend Collection
354,9853,294981,Arcidae,Arca,,senilis,,,(Linne,1758),3,,,,,,,,,,,,,,,Angola,,"Luanda Harbor,",,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,1964,Grace C. Eddison,25-Oct-91,,,,,Grace G. Eddison MD Collection
355,9853,294981,Arcidae,Arca,,senilis,,,(Linne,1758),3,,,,,,,,,,,,,,,Angola,,"Luanda Harbor,",,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,1964,Grace C. Eddison,25-Oct-91,,,,,Grace G. Eddison MD Collection
402,9853,300486,Buccinidae,Cantharus,,spec.,,,(?),,1,,,,,,,,,,,,,,,Angola,,"Luanda Harbor,",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Dichmont,Mar-65,Grace G. Eddison,25-Oct-91,"ex. J. Dichmont, August 1965",,,,Grace G. Eddison M.D. Collection
403,9853,300486,Buccinidae,Cantharus,,spec.,,,(?),,1,,,,,,,,,,,,,,,Angola,,"Luanda Harbor,",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Dichmont,Mar-65,Grace G. Eddison,25-Oct-91,"ex. J. Dichmont, August 1965",,,,Grace G. Eddison M.D. Collection
404,9853,300487,Buccinidae,Cantharus,,spec.,,,(?),,1,,,,,,,,,,,,,,,Angola,,"Luanda Harbor,",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Dichmont,Mar-65,Grace G. Eddison,25-Oct-91,"ex. J. Dichmont, August 1965",,,,Grace G. Eddison M.D. Collection
405,9853,300487,Buccinidae,Cantharus,,spec.,,,(?),,1,,,,,,,,,,,,,,,Angola,,"Luanda Harbor,",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Dichmont,Mar-65,Grace G. Eddison,25-Oct-91,"ex. J. Dichmont, August 1965",,,,Grace G. Eddison M.D. Collection
745,9853,289402,Muricidae,Phyllonotus,,hoplites,,,Fisher,1878,3,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda Harbor,,",,,,,,,,,,,,,,,,,,,,,,,,,,,J.Dichmont,"March, 1965",Grace G. Eddison,25-Oct-91,,,,,"Grace G. Eddison, MD Collection."
322,,241567,Terebrodae,Terebra,,fernandesi,,,Bouchet,1982,2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,Luanda Province,Barra do Dande,,0-1 meters ,,,,,,,,,,,,,,,,,,,,,,,,F.Fernandes & S. Gofas,Not Cited,,,"ex P. Bouchet. The holotype is in MNHN, Paris. Additional paratypes in MNHN and the Fernandes and Bratcher Collections (fide Bouchet, 1982, p. 198).  ",PARATYPES, ,"pp. 197, 198; figs. 10, 40, 41",
508,9668,241567,Terebridae,Terebra,,fernandesi,,,Bouchet,1982,2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda Province,","Barra do Dande,",,,,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes & S. Gofas,,Philippe Bouchet,25-Jan-89,0-1 meter,PARATYPES,,"Bolletino Malacologico 18(9-12):197, 198, figs. 10, 40, 41.",Philippe Bouchet Gift
604,9586,265717,Cypraeidae,Cypraea,,zonaria,,,Gmelin,1791,3,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda Province,","Mussulo Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,Soares,27-Jan-74,Morton L. Goodfriend,24-Nov-87,Found at 1:00 PM at 1.5-2 m.,,,,Glenn Goodfriend Collection
605,9586,265718,Cypraeidae,Cypraea,,zonaria,,,Gmelin,1791,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda Province,","Mussulo Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,Soares,1972,Morton L. Goodfriend,24-Nov-87,Found under coral at 1.5 m.,,,,Glenn Goodfriend Collection
606,9586,265719,Cypraeidae,Cypraea,,zonaria,,,Gmelin,1791,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda Province,","Mussulo Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,Soares,1-Jan-74,Morton L. Goodfriend,24-Nov-87,Found under red coral at 1.5 m.,,,,Glenn Goodfriend Collection
607,9586,265720,Cypraeidae,Cypraea,,zonaria,,,Gmelin,1791,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda Province,","Mussulo Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,Soares,1-Jan-74,Morton L. Goodfriend,24-Nov-87,Found under coral at 1.5 m.,,,,Glenn Goodfriend Collection
362,10316,297643,Turridae,Mangelia,,inusitata,,,Rolan & Otero-Schmitt,1999,1,,,,,,,,,,,,,,,Angola,,"Luanda Province,","Palmeirinhas,",,"25-30 meters, Buraco,",,,,,,,,,,,,,,,,,,,,,,,,Collector Unknown,,Emilio Rolan,3-Mar-00,,PARATYPE,,"Rolan, E. & J. Otero-Schmitt 1999. Argonauta, 13(1): 5-26, figs. 37-41, 93",
363,10316,297643,Turridae,Mangelia,,inusitata,,,Rolan & Otero-Schmitt,1999,1,,,,,,,,,,,,,,,Angola,,"Luanda Province,","Palmeirinhas,",,"25-30 meters, Buraco,",,,,,,,,,,,,,,,,,,,,,,,,Collector Unknown,,Emilio Rolan,3-Mar-00,,PARATYPE,,"Rolan, E. & J. Otero-Schmitt 1999. Argonauta, 13(1): 5-26, figs. 37-41, 93",
678,10038,275782,Bursidae,Bursa,,scrobilator,,,(Linnaeus,1758),1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Baia de Corimba,",,,,,,,,,,,,,,,,,,,,,,,20,,,F. Fernandes,Mar-95,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
589,9828,259074,Naticidae,Natica,,dixoni,,,F. Fernandes & Rolan,1992,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Baia do Cacuaco,",,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Fernandes,,Emilio Rolan,18-Jun-91,Low tide,PARATYPE,,"Publ. Ocas. Soc. Port. Malac. 16:31-33, pl. 1, figs. 7, 8; 2 text figs",Emilio Rolßn Gift
675,10038,275779,Marginellidae,Gibberula,,confusa,,,Gofas,1989,3,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Barra do Dande,",,"2-3m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Mar-94,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
677,10038,275781,Marginellidae,Gibberula,,aurata,,,(Bavay,1913),4,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Barra do Dande,",,"2-3m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Mar-94,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
449,9946,310156,Nassariidae,Nassarius,,sesarama,,,Marrat,1877,2,dredged,,,,,,,,,,,,,,Angola,,"Luanda,","Coricuba,",,"20 meters,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Walter Sage,20-Dec-93,"from: Charles Cardin, 21 June 1993",,,,Walter E. Sage Collection
666,10038,275770,Ranellidae,Cymatium,,trigonum,,,(Gmelin,1791),3,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Corimba Bay,",,,,,,,,,,,,,,,,,,,,,,,20,,,F. Fernandes,Feb. 1995,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
667,10038,275771,Ranellidae,Cymatium,,kobelti,,,(Maltzan,1884),2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Corimba Bay,",,,,,,,,,,,,,,,,,,,,,,,20,,,F. Fernandes,Feb. 1995,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
679,10038,275783,Ranellidae,Cymatium,,tranquebaricum,,,(Lamarck,1876),1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Corimba Bay,",,,,,,,,,,,,,,,,,,,,,,,20,,,F. Fernandes,Feb. 1995,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
662,10034,275766,Cypraeidae,Cypraea,,pyrum,angolensis,,Odhner,1923,3,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Corimba Bay,",,"dredged,",,,,,,,,,,,,,,,,,,,,,20,,,F. Fernandes,Sept. 1992,F. Fernandes,30-Jun-94,,,,,Francisco Fernandes Gift
663,10038,275767,Cypraeidae,Cypraea,,pyrum,angolensis,,Odhner,1923,2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Corimba Bay,",,"dredged,",,,,,,,,,,,,,,,,,,,,,20,,,F. Fernandes,Mar-95,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
657,10034,275761,Veneridae,Venus,,declivis,,,Sowerby,1853,2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Corimba Bay,",,"sand,",,,,,,,,,,,,,,,,,,,,,20,,,F. Fernandes,Nov. 1993,F. Fernandes,30-Jun-94,,,,,Francisco Fernandes Gift
661,10034,275765,Cardiidae,Laevicardium,,norvegicum,,,Spengler,1790,2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Corimba Bay,",,"sand,",,,,,,,,,,,,,,,,,,,,,20,,,F. Fernandes,Nov. 1993,F. Fernandes,30-Jun-94,,,,,Francisco Fernandes Gift
653,10034,275757,Cardiidae,Lyrocardium,,aeolicum,,,(Born,1778),1,dredged,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Corimba Bay,",,"1-20m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Nov. 1993,F. Fernandes,30-Jun-94,,,,,Francisco Fernandes Gift
627,9879,273589,Cypraeidae,Cypraea,,pyrum,angolensis,,Odhner,1923,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Corimba Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,1984,Mrs. Peter R. Fleischner,25-Jun-92,"Dredged 15-18 meters, coral & dead shell bottom.",,,,Mrs. Peter R. Fleischner Collection.
337,10116,288311,Pyramidellidae,Turbonilla,,inaequabilis,,,Penas and Rolan,1997,1,,Africa,,,,,,,,,,,,,Angola,,"Luanda,","Corimba,",,,,,,,,,,,,,,,,,,,,,,,20,,,Collector Unknown,,Emilio Rolan,3-Jul-97,,PARATYPE,,"Penas and Rolan 1997. Iberus Supplement 3: 66, figs. 186-190",
762,10192,294223,Turridae,Raphitoma,,corimbensis,,,"Rolan, Otero-Schmitt, & Fernandes",1998,1,,,,,,,,,,,,,,,Angola,,"Luanda,","Corimba,",,,,,,,,,,,,,,,,,,,,,,,20,,,Coll. Unknown,,E. Rolan,15-Jul-98,,PARATYPE,,"Rolan, Otero-Schmitt, and Fernandes, 1998. Iberus, 16(1): 109-110, figs. 32-34",
350,10192,294297,Turridae,Raphitoma,,kabuli,,,"Rolan, Otero-Schmitt & Fernandes",1998,2,,,,,,,,,,,,,,,Angola,,"Luanda,","Corimba,",,,,,,,,,,,,,,,,,,,,,,,,,,Nelson Casimiro,,E. Rolan,15-Jul-98,,PARATYPES,,"Rolan, Otero-Schmitt & Fernandes. 1998. Iberus, 16(1): 95-118.",Emilio Rolan Gift
537,9828,252792,Naticidae,Naticarius,,vittatus,corimbensis,,F. Fernandes & Rolan,1990,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Corimba,",,,,,,,,,,,,,,,,,,,,,,,,,,E. Rolan,,E. Rolan,18-Jun-91,Dredged 20 meters,PARATYPE,,"Thalassas 8:80-81; pl. 1, fig. D (lower row); text. figs. 3, 6",Emilio Rolßn Gift
715,10050,285097,Muricidae,Trachypollia,,turricula,,,von Maltzam,1884,3,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Corimba,",,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,"August, 1980",Katherine C. Vaught,17-Jul-95,Dredged at 18-20 meters.,,,,Katherine C. Vaught Collection.
434,9946,310068,Marginellidae,Marginella,,huberti,,,Clover,1972,1,dredged,,,,,,,,,,,,,,Angola,,"Luanda,","Faroi das Lagostas,",,"15-20 meters, mud,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Nov-92,Walter Sage,20-Dec-93,,,,,Walter E. Sage Collection
655,10034,275759,Mitridae,Zeba,,carinata,,,(Swainson,1824),4,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Farol das Lagostas,",,"10-15m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Sept. 1992,F. Fernandes,30-Jun-94,,,,,Francisco Fernandes Gift
656,10034,275760,Muricidae,Favartia,,emersoni,,,Radwin & D'Attilio,1976,2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Farol das Lagostas,",,"10-15m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Sept. 1992,F. Fernandes,30-Jun-94,,,,,Francisco Fernandes Gift
428,9946,309900,Fasciolariidae,Latirus,,filosus,,,(Schubert & Wagner,1829),1,,,,,,,,,,,,,,,Angola,,"Luanda,","Farol das Lagostas,",,"15 meters, rocks,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Oct-92,Walter E. Sage,20-Dec-93,,,,,Walter E. Sage Collection
664,10038,275768,Muricidae,Ocenebra,,inermicosta,,,Vokes,1964,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Farol das Lagostas,",,"15m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Sept. 1994,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
671,10038,275775,Turridae,Crassispira,,callosa,,,(Kiener,1840),2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Farol das Lagostas,",,"15m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Sept. 1994,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
673,10038,275777,Mitridae,Ziba,,carinata,,,(Swainson,1824),3,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Farol das Lagostas,",,"15m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Sept. 1994,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
680,10038,275784,Coralliophilidae,Latiaxis,,cariniferus,,,(Sowerby,1834),2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Farol das Lagostas,",,"15m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Jan. 1994,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
665,10038,275769,Muricidae,Favartia,,emersoni,,,Radwin & D'Attilio,1976,2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Farol das Lagostas,",,"18-20m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Sept. 1994,F. Fernandes,8-May-95,,,,,Francisco Fernandes Gift
741,9853,289396,Muricidae,Muricanthus,,megacerus,,,Sowerby,1834,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Ihla,",,,,,,,,,,,,,,,,,,,,,,,,,,J.Dichmont,"March, 1965",Grace G. Eddison,25-Oct-91,,,,,"Grace G. Eddison, MD Collection."
752,9853,290346,Fasciolariidae,Latirus,,filosus,,,Schubert & Wagner,1829,2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Ihla,",,,,,,,,,,,,,,,,,,,,,,,,,,J.Dichmont,"March, 1965",Grace G. Eddison,25-Oct-91,,,,,"Grace G. Eddison, MD Collection."
345,9853,293592,Mactridae,Mactra,,largillierti,,,Philippi,1848,1,,,,,,,,,,,,,,,Angola,,"Luanda,","Ilha,",,,,,,,,,,,,,,,,,,,,,,,,,,J. Dichmont,Mar-65,Grace G. Eddison,25-Oct-91,"ex. J. Dichmont, August 1965",,,,Grace G. Eddison MD Collection
341,9853,293044,Pectinidae,Argopecten,,flabellum,,,Gmelin,1791,12,,,,,,,,,,,,,,,Angola,,"Luanda,","Luanda Harbor,",,,,,,,,,,,,,,,,,,,,,,,,,,J. Dichmont,Mar-65,Grace G. Eddison,25-Oct-91,"ex. J. Dichmont, August 1965",,,,Grace G. Eddison MD Collection
654,10034,275758,Naticidae,Natica,,adansoni,,,Blainville,1825,2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Luanda,",,"sand, low tide,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Jan. 1993,F. Fernandes,30-Jun-94,,,,,Francisco Fernandes Gift
436,9946,310075,Marginellidae,Marginella,,mimetica,,,Gofas,1990,1,dredged,,,,,,,,,,,,,,Angola,,"Luanda,","Mussula,",,"10m,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Walter Sage,20-Dec-93,,,,,Walter E. Sage Collection
454,9946,310164,Naticidae,Natica,,marochiensis,,,Gmelin,1791,2,,,,,,,,,,,,,,,Angola,,"Luanda,","Mussulo Bay,",,"On sand at low tide,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Jul-76,Walter Sage,20-Dec-93,,,,,Walter E. Sage Collection
450,9946,310159,Naticidae,Eunaticina,,africana,,,Burnay & Fernandes,1984,2,,,,,,,,,,,,,,,Angola,,"Luanda,","Mussulo Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Walter Sage,20-Dec-93,,,,,Walter E. Sage Collection
536,9781,252779,Conidae,Conus,,aemulus,,,Reeve,1844,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Mussulo Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Fernandes,17-Jan-81,Sophia Johnson,8-Jul-90,On sand at low tide.,,,,Johnnie Johnson Collection
691,9879,276505,Conidae,Conus,,pulcher,,,Lightfoot,1786,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Mussulo Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,"July, 1983",Mrs. Peter R. Fleischner,25-Jun-92,In nets of local fishermen.,,,,Mrs. Peter R. Fleischner Collection.
539,9781,252860,Conidae,Conus,,aemulus,,,Reeve,1844,3,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Mussulu Bay,",,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,29-Jan-82,Sophia Johnson,8-Jul-90,In sand at low tide.,,,,Johnnie Johnson Collection
430,9946,310060,Marginellidae,Marginella,,eveleighi,,,Tomlin,1913,1,,,,,,,,,,,,,,,Angola,,"Luanda,","Off Corimba,",,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Walter Sage,20-Dec-93,,,,,Walter E. Sage Collection
683,10038,275787,Marginellidae,Marginella,,luculenta,,,Gofas & Fernandes,1994,3,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","off Ilha de Luanda,",,"40-50m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Oct. 1993,F. Fernandes,8-May-95,ex Fernandes paratype lot.,PARATYPES,,"J. Conch. 35(2): 106-108, figs. 5, 6, 22.",Francisco Fernandes Gift
686,10038,275790,Marginellidae,Marginella,,fumigata,,,Gofas & Fernandes,1994,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","off Ilha de Luanda,",,"40-50m,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,Oct. 1992,F. Fernandes,8-May-95,ex Fernandes paratype lot.,PARATYPE,,"J. Conch. 35(2): 116-117, figs. 16, 19.",Francisco Fernandes Gift
426,9946,309840,Olividae,Pseudoliva,,plumbea,,,Dillwyn,1817,1,dredged,,,,,,,,,,,,,,Angola,,"Luanda,","off Mocamedes Bay,",,in 40-50 meters in mud.,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Walter E. Sage,20-Dec-93,,,,,Walter E. Sage Collection
652,10034,275756,Conidae,Conus,,sp.,,,,,2,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Santiago Beach,",,"low tide,",,,,,,,,,,,,,,,,,,,,,,,,F. Fernandes,3-Mar-91,F. Fernandes,30-Jun-94,"labelled """"xicoi"""" Rockell.",,,,Francisco Fernandes Gift
699,9947,277474,Potamididae,Tympanotomus,,fuscatus,radula,,Linne,1758,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,","Sarico,",,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,"August, 1983",Mrs. Peter R. Fleischner,10-Dec-93,At low tide off Sarico.,,,,Mrs. Peter R. Fleischner Collection.
334,10116,288301,Pyramidellidae,Turbonilla,,luandensis,,,Penas & Rolan,1997,1,,Africa,,,,,,,,,,,,,Angola,,"Luanda,",,,"100 meters,",,,,,,,,,,,,,,,,,,,,,,,,Collector Unknown,,Emilio Rolan,3-Jul-97,,PARATYPE,,"Penas and Rolan 1997. Iberus Supplement 3: 34, figs. 60-62",
349,10261,294233,Pyramidellidae,Chrysallida,,gubbiolii,,,Penas & Rolan,1998,1,,,,,,,,,,,,,,,Angola,,"Luanda,",,,"60 meters,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,E. Rolan,20-May-99,,PARATYPE,,"Penas and Rolan, 1998. Iberus Supplement, 3:",E. Rolan Gift
336,10116,288307,Pyramidellidae,Turbonilla,,martae,,,Penas and Rolan,1997,1,,Africa,,,,,,,,,,,,,Angola,,"Luanda,",,,60-100 meters,,,,,,,,,,,,,,,,,,,,,,,,Collector Unknown,,Emilio Rolan,3-Jul-97,,PARATYPE,,"Penas and Rolan 1997. Iberus Supplement 3: 52, figs. 124-130",
335,10116,288303,Pyramidellidae,Turbonilla,,bengoensis,,,Penas & Rolan,1997,1,,Africa,,,,,,,,,,,,,Angola,,"Luanda,",,,"60-100 meters,",,,,,,,,,,,,,,,,,,,,,,,,Collector Unknown,,Emilio Rolan,3-Jul-97,,PARATYPE,,"Penas and Rolan 1997. Iberus Supplement 3: 40, figs. 78-81",
339,10116,288317,Pyramidellidae,Eulimella,,ignorabilis,,,Penas & Rolan,1997,1,,Africa,,,,,,,,,,,,,Angola,,"Luanda,",,,"60-100 meters,",,,,,,,,,,,,,,,,,,,,,,,,Collector Unknown,,Emilio Rolan,3-Jul-97,,PARATYPE,,"Penas and Rolan 1997. Iberus Supplement 3: 92-94, figs. 251-253",
705,,279256,Achatinidae,Limicolaria,,aurora,,,Jay,1839,1,,Africa,,,,,,,,,,,,,Angola,,"Luanda,",,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Melvin B. Robin,30-Dec-87,Collected on moist lowlands.,,,,Melvin B. Robin Collection
347,9853,294216,Tellinidae,Tellina,,madagascarensis,,,Gmelin,1790,1,,,,,,,,,,,,,,,Angola,,"Luanda,",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Dichmont,1965,Grace G. Eddison,25-Oct-91,"ex. J. Dichmont, August 1965",,,,Grace G. Eddison MD Collection
384,9853,299040,Naticidae,Sinum,,concavum,,,(Lamarck,1822),3,,,,,,,,,,,,,,,Angola,,"Luanda,",,,,,,,,,,,,,,,,,,,,,,,,,,,I. Cohen,,Grace G. Eddison,25-Oct-91,"ex. I. Cohen, August 1965",,,,Grace G. Eddison M.D. Collection
385,9853,299040,Naticidae,Sinum,,concavum,,,(Lamarck,1822),3,,,,,,,,,,,,,,,Angola,,"Luanda,",,,,,,,,,,,,,,,,,,,,,,,,,,,I. Cohen,,Grace G. Eddison,25-Oct-91,"ex. I. Cohen, August 1965",,,,Grace G. Eddison M.D. Collection
509,9461,241817,Muricidae,Bolinus,,cornutus,,,Linnaeus,1758,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,",,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Alice Denison Barlow,"December, 1985",,,,,Alice Denison Barlow Collection
510,9678,241840,Mitridae,Mitra,,turtoni,,,E. A. Smith,1873,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,",,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Fernandes,,Israel Bendersky,20-Apr-89,"Dredged 40 meters, sand with rocks",,,,Israel Bendersky Collection
511,9678,241841,Mitridae,Mitra,,nigra,,,Gmelin,1791,1,,,Atlantic Ocean,,,,,,,,,,,,Angola,,"Luanda,",,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Fernandes,12-Feb-82,Israel Bendersky,20-Apr-89,Under rock at low tide,,,,Israel Bendersky Collection
